user_id,first_name ,last_name,date ,steps ,workouts ,calories_in,calories_out,join_date
1,Lily,Smith,3/30/2023,10239,hard,2755,2355,8/12/2025
2,Ava,Davis,10/14/2023,2535,easy,2976,2240,3/2/2023
3,Luke,Taylor,10/12/2025,11338,medium,1865,2808,4/22/2024
4,Theodore,Nelson,8/30/2024,2328,none,2681,2560,6/28/2023
5,Emma,King,9/18/2025,4476,none,1808,2343,6/20/2023
6,Mia,Allen,12/26/2025,4423,none,2508,2937,11/18/2024
7,Isabella,Wright,2/24/2024,2345,none,2819,2205,2/8/2025
8,Joshua,Perez,10/17/2023,6678,easy,2739,2753,10/17/2024
9,Sophia,Lee,9/6/2025,11265,none,2905,2963,12/6/2023
10,Emily,Davis,6/18/2025,2239,easy,2463,2353,8/2/2025
11,Sophia,Lee,4/24/2024,12758,none,2791,2930,3/29/2024
12,Thomas,Robinson,1/12/2024,6307,hard,1860,2280,4/26/2023
13,Harrison,Johnson,2/9/2023,8270,none,2819,2236,6/8/2024
14,Isabella,Scott,3/16/2024,3211,hard,2663,2409,9/2/2025
15,Luke,Martin,8/16/2024,13495,none,2298,2389,8/12/2023
16,Michael,Martin,3/7/2024,2510,easy,2243,2389,5/6/2023
17,Owen,Allen,1/27/2025,4944,easy,2360,2877,5/25/2023
18,Isabella,Perez,3/1/2025,8100,medium,2431,2970,12/29/2023
19,Eli,Johnson,3/27/2024,9448,easy,2422,2946,12/18/2024
20,Dylan,Baker,9/5/2023,2987,medium,2412,2290,7/26/2025
21,Chloe,Thomas,2/17/2024,8009,hard,2600,2875,10/9/2024
22,Ella,Moore,8/2/2025,3728,easy,2533,2509,6/3/2025
23,Ella,Baker,6/5/2025,2070,easy,2830,2845,6/25/2023
24,Olivia,Lewis,11/30/2024,8799,none,2908,2583,1/5/2024
25,Lily,Baker,8/17/2024,4800,easy,2978,2558,8/27/2023
26,Amelia,Lee,5/12/2025,11822,hard,2636,2824,6/11/2023
27,Isabella,Thomas,12/18/2023,6377,easy,1969,2736,1/9/2025
28,Charles,Wilson,8/13/2023,7619,medium,2134,2763,6/29/2025
29,Joshua,King,1/28/2024,5388,medium,2326,2345,12/24/2025
30,Emily,Hill,5/16/2023,4925,none,2831,2917,12/30/2024
31,Charlotte,Brown,6/4/2023,8791,hard,2306,2292,8/16/2024
32,Charlotte,Carter,2/23/2023,6755,medium,2768,2528,1/15/2025
33,Zachary,Robinson,6/18/2024,14624,easy,2537,2452,8/5/2023
34,Theodore,Hill,10/23/2025,7182,none,2345,2398,3/6/2024
35,Ella,Davis,7/22/2025,10278,medium,2160,2271,12/7/2023
36,Charles,Martin,11/20/2024,10263,easy,1852,2849,11/17/2024
37,Grace,Young,8/20/2025,14294,easy,2395,3000,2/22/2025
38,Sophia,Walker,7/29/2024,10514,easy,2179,2686,2/19/2025
39,Michael,Hall,8/18/2023,5672,easy,2096,2699,1/28/2025
40,Adam,Smith,7/24/2024,7747,easy,2850,2962,10/4/2025
41,Finn,Perez,8/11/2024,2001,medium,2366,2666,11/7/2023
42,Ryan,Smith,7/22/2023,3145,easy,2173,2915,12/2/2024
43,Adam,Perez,9/29/2025,2554,hard,2260,2504,12/31/2023
44,Eli,Lee,7/31/2023,12576,medium,2637,2762,8/23/2023
45,Mia,Martin,12/6/2023,11756,easy,2262,2236,11/12/2024
46,Olivia,Wilson,1/6/2023,12257,none,2964,2485,9/11/2025
47,Joshua,Thomas,3/21/2024,2246,none,2403,2327,5/4/2023
48,Grace,Hernandez,5/21/2025,3197,hard,1947,2507,9/12/2024
49,Michael,Allen,1/2/2025,9364,none,1987,2565,12/20/2025
50,Ella,Hall,11/30/2024,2348,none,2669,2636,12/22/2025
51,Eli,Thomas,11/27/2024,4361,hard,1801,2339,2/22/2023
52,Mia,Robinson,10/20/2025,4944,medium,2849,2529,11/18/2025
53,Charles,Evans,6/19/2024,12738,hard,2859,2929,6/13/2023
54,Lily,Lee,4/11/2023,2354,medium,2050,2294,4/11/2025
55,Owen,Thomas,7/17/2025,8766,medium,2563,2719,1/18/2025
56,Emma,Martin,5/17/2024,2083,easy,2338,2310,2/29/2024
57,Ava,Hill,6/30/2025,10359,medium,2656,2755,5/21/2023
58,Zachary,Lee,7/2/2024,8295,medium,2055,2995,9/8/2023
59,Andrew,Martin,2/3/2024,5419,medium,2659,2431,4/3/2023
60,Sophia,Robinson,9/17/2023,2103,none,2610,2531,9/29/2025
61,Lily,Young,3/5/2025,7382,medium,1811,2427,5/8/2024
62,Lily,Mitchell,9/27/2025,13315,hard,1936,2729,7/12/2023
63,Owen,Baker,2/3/2024,6774,none,2300,2414,5/11/2023
64,Andrew,King,10/27/2025,2491,easy,2390,2214,5/31/2023
65,Olivia,Johnson,11/1/2025,9792,hard,2400,2512,1/6/2025
66,Sophia,Scott,3/19/2023,3872,none,1863,2818,5/11/2024
67,Ava,Wilson,12/29/2024,5216,hard,2258,2687,5/4/2025
68,Charles,Taylor,6/24/2025,3206,medium,2011,2371,3/16/2023
69,Chloe,Martin,5/24/2025,6503,easy,2014,2538,8/13/2023
70,Amelia,Lee,7/26/2023,2186,hard,2620,2392,3/6/2023
71,Zachary,Carter,7/9/2024,6248,hard,2644,2438,2/6/2025
72,Michael,Martin,7/19/2024,7905,easy,2706,2322,7/9/2025
73,Zachary,Mitchell,9/11/2025,4714,hard,2629,2741,2/10/2024
74,Sophia,Taylor,3/20/2025,5848,medium,1871,2355,8/11/2025
75,Theodore,Lee,12/26/2023,4681,easy,2553,2222,7/10/2025
76,Isabella,Taylor,5/2/2025,2706,none,2432,2831,8/27/2024
77,Theodore,Wright,11/12/2025,8803,easy,2772,2220,9/6/2024
78,Grace,Allen,9/12/2023,9131,hard,1940,2251,8/12/2023
79,Charlotte,Lewis,8/25/2024,11182,easy,1916,2347,10/21/2024
80,Harrison,Walker,12/2/2023,6822,hard,2355,2367,8/13/2023
81,Charlotte,Wilson,8/24/2024,10472,none,2298,2304,8/18/2023
82,Harrison,Walker,12/25/2025,2954,none,2080,2994,10/27/2024
83,Michael,Hill,1/29/2024,3421,none,2152,2674,8/21/2023
84,Isabella,King,7/9/2024,10641,medium,2692,2233,12/8/2025
85,Olivia,Perez,9/29/2025,4609,easy,1863,2974,11/18/2025
86,Eli,Taylor,11/10/2025,8964,medium,2492,2610,7/29/2025
87,Grace,Clark,6/15/2024,3696,easy,2910,2679,1/12/2024
88,Andrew,Moore,10/28/2023,5831,hard,2839,2757,1/4/2023
89,Joshua,Hill,3/4/2025,2367,hard,2734,2213,4/24/2023
90,Owen,Perez,4/3/2024,3772,hard,2142,2341,2/14/2025
91,Ava,Davis,12/14/2025,7898,none,2849,2374,12/17/2023
92,Dylan,Perez,4/29/2025,4920,none,2422,2765,2/23/2024
93,Eli,Nelson,8/5/2025,4049,hard,2363,2685,7/5/2025
94,Charles,Johnson,7/29/2025,4738,easy,1856,2483,3/28/2025
95,Michael,Davis,1/25/2023,3735,easy,2051,2594,7/19/2023
96,Dylan,Mitchell,9/10/2023,7187,medium,2944,2512,6/24/2024
97,Isabella,Allen,9/2/2023,7319,none,2075,2724,3/11/2024
98,Joshua,Thomas,1/23/2025,11441,none,2175,2991,2/10/2025
99,Olivia,Scott,12/14/2024,4648,medium,2104,2725,5/16/2023
100,Thomas,King,1/27/2025,10143,medium,2558,2493,5/10/2024
101,Adam,Davis,5/22/2024,7973,medium,2741,2699,3/25/2024
102,Joshua,Taylor,2/19/2023,6968,medium,2044,2566,10/14/2024
103,Emma,Robinson,10/12/2024,6165,none,2487,2546,6/23/2024
104,Andrew,Hall,6/25/2025,9839,easy,2725,2350,8/31/2023
105,Joshua,Davis,6/8/2025,9934,easy,1848,2614,4/9/2023
106,Charlotte,Young,9/20/2024,9641,none,1977,2234,3/23/2024
107,Ava,King,1/28/2023,14732,easy,2172,2660,12/11/2024
108,Amelia,Hall,2/10/2025,4742,hard,2750,2629,2/23/2023
