user_id,first_name,last_name, date,time_in_app_minutes ,screens_viwed,features_used
1,Adam,Allen,2/11/2024,76,45,2
2,Emma,King,2/25/2023,6,30,1
3,Joshua,Walker,3/18/2023,80,29,1
4,Adam,Allen,5/22/2024,67,25,5
5,Ella,Wilson,11/28/2023,58,8,2
6,Charles,Smith,9/21/2024,45,38,5
7,Zoe,Young,5/3/2023,92,20,4
8,Chloe,Hall,10/3/2023,62,24,2
9,Andrew,Perez,12/25/2023,78,39,6
10,Zoe,Smith,12/28/2023,39,5,4
11,Chloe,Hall,12/21/2024,36,15,3
12,Adam,Hall,3/5/2024,99,5,3
13,Owen,Thomas,1/28/2023,38,15,6
14,Dylan,Clark,11/15/2024,60,34,6
15,Owen,Wilson,8/18/2023,59,19,4
16,Olivia,Nelson,4/4/2023,54,38,6
17,Theodore,Brown,4/1/2024,42,36,5
18,Adam,Johnson,11/2/2024,72,39,3
19,Sophia,Thomas,9/28/2024,6,4,3
20,Emily,Smith,4/12/2024,32,7,5
21,Chloe,Young,11/4/2023,110,23,5
22,Joshua,Carter,3/3/2023,2,15,2
23,Lily,Nelson,6/15/2024,40,48,5
24,Michael,Perez,11/6/2023,87,6,3
25,Ryan,Perez,5/2/2023,117,44,1
26,Ryan,Baker,10/20/2023,23,37,4
27,Chloe,Allen,8/27/2023,31,1,4
28,Ava,Allen,2/16/2023,68,48,6
29,Luke,Adams,3/11/2024,62,25,3
30,Adam,Wright,9/3/2024,68,50,2
31,Luke,Robinson,4/23/2023,34,17,3
32,Theodore,Smith,10/7/2024,14,13,6
33,Emma,Moore,12/21/2024,27,6,6
34,Zoe,Allen,2/27/2024,98,37,6
35,Andrew,Lee,6/5/2024,1,31,5
36,Andrew,Carter,4/29/2024,96,49,1
37,Charles,Hill,2/1/2024,24,48,6
38,Finn,Johnson,11/20/2024,21,1,5
39,Charles,Hernandez,5/1/2023,43,1,5
40,Ryan,Wilson,6/21/2024,39,37,6
41,Eli,Lee,8/9/2024,47,19,1
42,Harrison,Mitchell,9/9/2024,81,18,4
43,Dylan,Baker,11/30/2023,29,27,6
44,Adam,Martin,9/14/2023,73,11,3
45,Isabella,Mitchell,2/25/2023,114,8,4
46,Sophia,Brown,7/27/2024,101,23,6
47,Theodore,Taylor,7/23/2023,19,8,5
48,Zoe,Adams,4/23/2023,36,17,5
49,Theodore,Walker,6/10/2023,76,12,2
50,Eli,Carter,9/21/2023,92,23,6
51,Charlotte,Wilson,12/14/2023,69,18,1
52,Charlotte,King,6/9/2024,104,13,3
53,Adam,Young,7/1/2024,93,26,5
54,Adam,Hall,6/30/2024,32,41,1
55,Zoe,Taylor,8/28/2024,58,49,1
56,Charles,Thomas,10/2/2023,32,37,1
57,Amelia,Taylor,8/20/2023,101,43,4
58,Charles,Baker,10/28/2024,70,31,2
59,Olivia,Carter,7/23/2023,103,40,5
60,Luke,Lewis,11/8/2024,97,41,5
61,Dylan,Brown,3/28/2023,20,17,5
62,Joshua,Walker,3/19/2023,41,30,3
63,Michael,Carter,6/5/2024,86,8,2
64,Ryan,Hill,1/1/2024,97,4,5
65,Dylan,Hall,5/28/2024,67,7,2
66,Emily,Taylor,7/30/2024,42,8,6
67,Ryan,Johnson,11/26/2023,119,26,2
68,Lily,Wilson,11/18/2023,104,32,6
69,Thomas,Davis,10/3/2024,87,12,4
70,Grace,King,7/12/2023,69,35,5
71,Lily,Carter,10/1/2023,11,5,1
72,Zoe,Perez,3/14/2023,110,42,4
73,Zachary,Lee,6/12/2023,91,43,4
74,Olivia,Hernandez,4/28/2023,75,26,2
75,Michael,Hernandez,1/21/2024,45,41,2
76,Emily,Scott,9/28/2023,49,12,2
77,Ryan,Smith,6/17/2024,68,3,3
78,Owen,Nelson,11/14/2023,33,4,5
79,Charlotte,Baker,3/25/2024,119,49,6
80,Sophia,Robinson,2/5/2023,116,16,3
81,Sophia,Thomas,6/10/2024,66,22,4
82,Michael,Scott,4/11/2024,97,41,6
83,Finn,Perez,12/19/2023,17,41,3
84,Emma,King,11/25/2023,26,47,4
85,Emma,Hernandez,12/20/2024,21,33,1
86,Olivia,King,3/7/2023,56,28,6
87,Sophia,Lee,4/17/2023,81,31,1
88,Grace,Mitchell,6/6/2023,101,23,5
89,Amelia,Hill,2/19/2024,19,5,1
90,Ava,Wright,1/1/2023,119,20,2
91,Emma,Lee,9/9/2023,119,32,1
92,Finn,Hernandez,10/28/2024,55,2,3
93,Ella,Martin,6/14/2023,71,17,6
94,Zachary,Johnson,7/1/2024,84,45,5
95,Lily,Mitchell,11/14/2024,54,29,3
96,Dylan,Mitchell,10/15/2024,98,43,1
97,Emily,Allen,9/7/2024,71,45,3
98,Charlotte,Davis,7/18/2023,7,32,6
99,Grace,Martin,4/10/2024,23,40,2
100,Luke,Lewis,7/25/2024,47,9,6
101,Ava,Baker,2/16/2024,10,17,2
102,Zachary,Nelson,12/6/2024,19,33,3
103,Andrew,Johnson,7/13/2024,114,13,5
104,Grace,Johnson,5/3/2023,111,14,1
105,Isabella,Carter,10/4/2023,115,44,6
106,Andrew,Johnson,3/28/2024,17,30,3
107,Eli,Moore,5/15/2024,48,10,2
108,Mia,Wilson,9/24/2023,17,5,4
109,Grace,Lee,8/21/2023,100,48,6
110,Ava,Nelson,2/19/2024,120,45,6
111,Lily,Brown,2/20/2024,0,34,1
112,Lily,Allen,1/10/2024,98,42,1
113,Emma,Wright,2/21/2023,41,7,1
114,Ella,Thomas,7/21/2024,71,6,4
115,Thomas,Davis,12/9/2024,103,45,3
116,Eli,Scott,11/9/2024,27,28,1
117,Zachary,Martin,4/10/2023,17,15,2
118,Isabella,Johnson,12/29/2023,61,25,3
119,Adam,Nelson,11/18/2023,52,18,5
120,Joshua,Mitchell,10/11/2023,46,2,2
121,Eli,Smith,4/7/2023,89,43,6
122,Theodore,Taylor,11/24/2024,37,29,2
