user_id,first_name,last_name,notification_type,opened_flag,     clik_flag
1,Julia,Scott,Challenge,0,0
2,Sophia,Taylor,Offer,0,0
3,Emma,King,Reminder,0,0
4,Freya,Lee,Offer,1,0
5,Clara,Hill,Offer,0,0
6,Mia,Thomas,Tip,0,0
7,Clara,Perez,Challenge,0,0
8,Scarlett,Clark,Offer,0,0
9,Charlotte,Martin,Tip,0,0
10,Julia,Baker,Challenge,1,0
11,Grace,Perez,Challenge,0,0
12,Emily,Young,Offer,0,0
13,Clara,Johnson,Tip,1,1
14,Emily,Smith,Challenge,0,0
15,Aria,Adams,Reminder,0,0
16,Grace,Wright,Challenge,0,0
17,Emily,Wright,Challenge,0,0
18,Freya,Johnson,Challenge,0,0
19,Eva,Adams,Tip,0,0
20,Eva,Baker,Offer,1,0
21,Eva,Mitchell,Offer,1,1
22,Emily,Thomas,Reminder,0,0
23,Clara,Clark,Offer,0,0
24,Ella,Adams,Challenge,1,0
25,Sophia,Perez,Offer,1,0
26,Hannah,Walker,Challenge,0,0
27,Ella,Lee,Offer,0,0
28,Ruby,Scott,Offer,1,0
29,Lily,Robinson,Tip,1,0
30,Amelia,Adams,Offer,1,0
31,Grace,Carter,Tip,1,0
32,Mia,Carter,Challenge,0,0
33,Alice,Wilson,Challenge,1,0
34,Hannah,Robinson,Offer,1,0
35,Emily,King,Reminder,0,0
36,Ava,Hernandez,Offer,1,0
37,Lily-Rose,Wright,Offer,0,0
38,Amelia,Young,Tip,0,0
39,Lucy,King,Offer,0,0
40,Alice,Mitchell,Reminder,0,0
41,Ava,Robinson,Offer,1,0
42,Charlotte,Johnson,Reminder,0,0
43,Lily,Lewis,Challenge,1,0
44,Emma,Carter,Offer,0,0
45,Emma,Robinson,Challenge,0,0
46,Zoe,Johnson,Challenge,0,0
47,Lily,Taylor,Challenge,1,0
48,Emma,Lewis,Reminder,0,0
49,Lily,Davis,Challenge,0,0
50,Sofia,Wright,Challenge,0,0
51,Ella,Clark,Offer,0,0
52,Sofia,Smith,Challenge,1,1
53,Maya,Evans,Reminder,0,0
54,Maya,Martin,Tip,0,0
55,Zoe,Hill,Offer,0,0
56,Lily-Rose,Hill,Challenge,0,0
57,Olivia,Scott,Tip,1,0
58,Aria,King,Reminder,0,0
59,Mia,Nelson,Challenge,0,0
60,Ella,Clark,Offer,1,0
61,Sofia,Robinson,Reminder,0,0
62,Isabella,Davis,Offer,0,0
63,Maya,Smith,Offer,1,0
64,Lily,Wilson,Tip,1,0
65,Isabella,Hernandez,Tip,1,1
66,Lucy,Smith,Challenge,1,0
67,Grace,Walker,Challenge,0,0
68,Emily,King,Tip,0,0
69,Aria,Young,Reminder,1,0
70,Emma,Hernandez,Tip,0,0
71,Clara,Taylor,Offer,0,0
72,Ella,Lee,Reminder,1,0
73,Ava,Perez,Tip,1,0
74,Lucy,Wright,Tip,0,0
75,Sofia,King,Challenge,1,0
76,Sophia,Wilson,Offer,1,0
77,Julia,Perez,Offer,0,0
78,Eva,Smith,Reminder,0,0
79,Amelia,Adams,Offer,0,0
80,Ava,Hernandez,Offer,0,0
81,Sofia,Thomas,Tip,1,0
82,Chloe,Allen,Challenge,0,0
83,Mia,Evans,Offer,0,0
84,Aurora,Hall,Offer,0,0
85,Maya,Hall,Reminder,0,0
86,Grace,Taylor,Reminder,0,0
87,Emily,Hill,Offer,1,0
88,Julia,Moore,Offer,1,0
89,Leah,Lee,Reminder,1,0
90,Julia,Brown,Tip,0,0
91,Charlotte,Robinson,Challenge,0,0
92,Olivia,Lee,Reminder,0,0
93,Ruby,Nelson,Tip,1,1
94,Sofia,Scott,Challenge,0,0
95,Scarlett,Hernandez,Reminder,0,0
96,Aurora,Mitchell,Reminder,0,0
97,Sofia,Brown,Challenge,0,0
98,Mia,Baker,Reminder,1,1
99,Freya,Baker,Reminder,0,0
100,Julia,Johnson,Challenge,1,0
101,Sophia,Lewis,Offer,0,0
102,Lily-Rose,Young,Tip,1,0
103,Freya,Hernandez,Tip,0,0
104,Olivia,Moore,Reminder,0,0
105,Lucy,Hernandez,Tip,0,0
106,Sofia,Lewis,Reminder,1,0
107,Olivia,Davis,Tip,0,0
108,Clara,Johnson,Challenge,1,0
109,Aurora,Allen,Reminder,0,0
110,Chloe,Lee,Challenge,0,0
111,Charlotte,Lewis,Challenge,1,0
112,Maya,Evans,Tip,0,0
113,Ruby,Thomas,Tip,0,0
114,Sofia,Martin,Offer,0,0
115,Julia,Baker,Offer,1,0
116,Aria,Moore,Reminder,1,0
117,Ava,Hill,Tip,0,0
118,Amelia,Scott,Offer,0,0
119,Lily,Baker,Reminder,0,0
120,Zoe,Perez,Challenge,0,0
121,Ruby,Hall,Reminder,0,0
122,Isabella,Walker,Reminder,0,0
123,Sophia,Scott,Challenge,1,0
124,Ella,Mitchell,Tip,1,0
125,Maya,Lee,Challenge,0,0
126,Freya,Carter,Tip,0,0
127,Isabella,Taylor,Offer,1,0
128,Olivia,King,Challenge,1,0
129,Eva,Wilson,Offer,0,0
130,Leah,Davis,Reminder,1,0
131,Ruby,Evans,Offer,1,0
132,Olivia,Perez,Challenge,0,0
133,Aria,Hernandez,Tip,0,0
134,Julia,Wright,Tip,0,0
135,Leah,Mitchell,Challenge,1,1
136,Ruby,Lewis,Tip,1,0
137,Lily,Thomas,Offer,1,0
138,Clara,Davis,Offer,0,0
139,Lily-Rose,Taylor,Challenge,0,0
140,Amelia,Adams,Reminder,0,0
141,Zoe,Baker,Tip,1,0
142,Amelia,Martin,Offer,0,0
143,Chloe,Johnson,Offer,1,0
144,Sofia,Lee,Challenge,1,0
145,Ava,Allen,Offer,0,0
146,Isabella,Johnson,Tip,0,0
147,Julia,Lewis,Reminder,1,0
148,Alice,Hernandez,Challenge,0,0
149,Clara,Scott,Reminder,0,0
150,Amelia,Moore,Offer,0,0
151,Emma,Young,Challenge,0,0
152,Aria,Clark,Tip,0,0
153,Alice,Scott,Offer,0,0
154,Freya,Allen,Offer,0,0
155,Sophia,Hall,Reminder,0,0
156,Isabella,Young,Offer,0,0
157,Sofia,Mitchell,Tip,0,0
158,Scarlett,Lee,Reminder,0,0
159,Ella,Nelson,Tip,0,0
160,Clara,Johnson,Tip,0,0
161,Freya,King,Offer,0,0
162,Freya,Clark,Tip,1,0
163,Chloe,Scott,Challenge,0,0
164,Freya,Hernandez,Reminder,0,0
165,Ava,Robinson,Challenge,0,0
166,Leah,Davis,Tip,0,0
167,Hannah,Carter,Tip,0,0
168,Hannah,Johnson,Tip,0,0
169,Clara,Wright,Reminder,0,0
170,Aurora,Johnson,Challenge,0,0
171,Aria,Hernandez,Reminder,0,0
172,Charlotte,Clark,Tip,1,0
173,Lily,Wright,Offer,1,0
174,Charlotte,Baker,Challenge,1,0
175,Eva,Young,Reminder,1,0
176,Aurora,Nelson,Reminder,0,0
177,Ava,Nelson,Tip,0,0
178,Scarlett,Allen,Challenge,0,0
179,Clara,Smith,Challenge,1,0
180,Hannah,Thomas,Tip,0,0
181,Mia,Evans,Challenge,0,0
182,Ella,Hall,Offer,1,0
183,Ava,Martin,Challenge,0,0
184,Sophia,Martin,Reminder,0,0
185,Zoe,Baker,Challenge,0,0
186,Mia,Wilson,Challenge,1,0
187,Maya,Lewis,Offer,0,0
188,Sophia,Carter,Challenge,0,0
189,Scarlett,Taylor,Tip,0,0
190,Grace,Hall,Tip,0,0
191,Mia,Wilson,Tip,0,0
192,Sophia,Adams,Challenge,0,0
193,Emma,Davis,Tip,0,0
194,Olivia,Lee,Reminder,1,0
195,Charlotte,Smith,Challenge,0,0
196,Maya,Hill,Offer,1,0
197,Leah,Moore,Offer,0,0
198,Lucy,Taylor,Tip,1,0
199,Alice,Mitchell,Challenge,1,0
200,Clara,Smith,Offer,1,0
201,Isabella,Scott,Reminder,0,0
202,Charlotte,Walker,Reminder,0,0
203,Julia,Adams,Tip,0,0
204,Aria,Nelson,Reminder,0,0
205,Chloe,Johnson,Offer,0,0
206,Mia,Robinson,Offer,0,0
207,Julia,Moore,Challenge,0,0
208,Ava,Brown,Reminder,1,0
209,Grace,Scott,Reminder,1,1
210,Freya,Walker,Tip,0,0
211,Mia,Taylor,Offer,1,0
212,Lily-Rose,Clark,Challenge,0,0
213,Alice,Scott,Tip,0,0
214,Scarlett,Lewis,Offer,1,0
215,Sofia,Hill,Reminder,0,0
216,Zoe,Martin,Challenge,0,0
217,Sophia,Wright,Tip,0,0
218,Scarlett,Thomas,Challenge,0,0
219,Ruby,Adams,Challenge,0,0
220,Aurora,Evans,Challenge,1,0
221,Emma,Wilson,Offer,0,0
222,Ava,Smith,Challenge,0,0
223,Ruby,Lee,Challenge,1,0
224,Ella,Lee,Offer,1,0
225,Ava,Davis,Reminder,0,0
226,Grace,Wright,Tip,1,1
227,Lily,Lewis,Tip,0,0
228,Ella,Lewis,Challenge,0,0
229,Lucy,Robinson,Challenge,0,0
230,Lily,Evans,Challenge,0,0
231,Alice,Davis,Reminder,1,0
232,Olivia,Brown,Tip,0,0
233,Isabella,Allen,Offer,1,0
234,Chloe,Moore,Reminder,0,0
235,Ella,Hall,Tip,0,0
236,Amelia,Nelson,Challenge,0,0
237,Sophia,Adams,Tip,0,0
238,Alice,Clark,Reminder,0,0
239,Aurora,Thomas,Reminder,0,0
240,Sofia,Baker,Challenge,0,0
241,Amelia,Perez,Reminder,1,0
242,Isabella,Lee,Reminder,1,0
243,Sofia,Hernandez,Challenge,0,0
244,Emma,Wilson,Offer,1,1
245,Hannah,Smith,Challenge,0,0
246,Maya,Lee,Tip,0,0
247,Amelia,Davis,Offer,0,0
248,Grace,Hernandez,Challenge,0,0
249,Julia,Evans,Challenge,1,0
250,Freya,Hall,Challenge,0,0
251,Julia,Nelson,Reminder,1,0
252,Julia,Thomas,Offer,0,0
253,Leah,Mitchell,Offer,0,0
254,Sophia,Hernandez,Tip,0,0
255,Freya,Carter,Reminder,1,0
256,Chloe,Moore,Tip,0,0
257,Olivia,Martin,Offer,1,0
258,Ava,Adams,Offer,1,0
259,Aria,Wright,Reminder,1,0
260,Lucy,Johnson,Tip,0,0
261,Amelia,Johnson,Offer,0,0
262,Leah,Brown,Reminder,1,0
263,Lily-Rose,Wilson,Reminder,0,0
264,Sophia,Thomas,Challenge,0,0
265,Amelia,Moore,Reminder,1,0
266,Ruby,Lewis,Challenge,0,0
267,Charlotte,Perez,Offer,0,0
268,Charlotte,Hernandez,Offer,0,0
269,Aria,Brown,Challenge,1,0
270,Leah,Wilson,Challenge,0,0
271,Aurora,Hall,Tip,0,0
272,Lucy,Hill,Offer,1,0
273,Chloe,Adams,Challenge,1,0
274,Isabella,King,Challenge,0,0
275,Lily,Carter,Challenge,0,0
276,Freya,Lewis,Offer,0,0
277,Freya,Young,Reminder,0,0
278,Grace,Thomas,Offer,0,0
279,Amelia,Lewis,Reminder,0,0
280,Ella,Wilson,Offer,0,0
281,Freya,Walker,Tip,0,0
282,Hannah,Wright,Reminder,0,0
283,Lily,Wilson,Tip,0,0
284,Ella,Thomas,Offer,0,0
285,Lily,Robinson,Challenge,0,0
286,Amelia,Evans,Reminder,1,0
287,Isabella,Wilson,Offer,0,0
288,Lily-Rose,Lee,Challenge,1,0
289,Charlotte,Davis,Challenge,0,0
290,Zoe,Robinson,Tip,1,0
291,Amelia,Lewis,Challenge,0,0
292,Aria,Hill,Challenge,0,0
293,Lily,Wilson,Reminder,0,0
294,Maya,Moore,Tip,0,0
295,Maya,Baker,Offer,1,0
296,Charlotte,Robinson,Reminder,0,0
297,Leah,Nelson,Tip,1,0
298,Emily,Allen,Offer,0,0
299,Eva,Mitchell,Reminder,1,0
300,Lily,Perez,Challenge,0,0
301,Isabella,Scott,Tip,1,0
302,Ruby,Wilson,Offer,0,0
303,Sophia,Lee,Reminder,1,0
304,Hannah,Hill,Challenge,0,0
305,Emma,Adams,Reminder,1,0
306,Mia,Mitchell,Tip,1,0
