user_id,first_name,last_name,days_active,churn_flag
1,Emma,Adams,25,1
2,Hannah,Walker,14,0
3,Mia,Mitchell,328,1
4,Julia,Johnson,29,0
5,Mia,Taylor,328,0
6,Zoe,Baker,10,0
7,Chloe,Hernandez,170,0
8,Emma,Nelson,169,0
9,Lily-Rose,Carter,309,0
10,Lily,Lee,336,1
11,Julia,Johnson,177,0
12,Freya,Baker,223,0
13,Lily,Baker,149,0
14,Olivia,Evans,191,0
15,Zoe,Thomas,205,0
16,Olivia,Baker,51,1
17,Leah,Thomas,207,0
18,Leah,Scott,175,0
19,Lucy,Thomas,334,0
20,Isabella,Carter,365,1
21,Scarlett,Martin,151,0
22,Alice,Martin,365,0
23,Lily-Rose,Perez,202,0
24,Ella,Walker,92,0
25,Maya,Wilson,191,0
26,Emma,Evans,9,0
27,Ella,Davis,86,0
28,Lily-Rose,King,265,0
29,Freya,King,27,1
30,Ruby,Davis,131,0
31,Maya,Scott,196,0
32,Amelia,Hernandez,79,0
33,Amelia,Thomas,340,1
34,Julia,Johnson,306,0
35,Grace,Perez,200,0
36,Clara,Thomas,122,0
37,Clara,Perez,108,0
38,Julia,Brown,22,0
39,Freya,Adams,102,0
40,Isabella,Wilson,15,0
41,Amelia,Robinson,248,0
42,Ella,Walker,318,1
43,Lucy,Young,348,0
44,Lucy,Carter,216,0
45,Sophia,Wright,21,0
46,Charlotte,Thomas,288,0
47,Olivia,Adams,256,0
48,Alice,Nelson,333,0
49,Hannah,Martin,37,0
50,Ruby,Hall,149,0
51,Emma,Nelson,41,0
52,Aria,Martin,144,0
53,Ava,Lee,75,0
54,Sofia,Davis,35,1
55,Zoe,Lewis,84,1
56,Mia,Davis,263,0
57,Ruby,King,353,0
58,Julia,Hall,214,0
59,Emma,Wright,112,0
60,Freya,Wright,227,0
61,Eva,Baker,154,0
62,Leah,Mitchell,203,0
63,Olivia,Evans,228,0
64,Amelia,Thomas,134,0
65,Emily,Smith,347,0
66,Ava,Clark,326,1
67,Emily,Walker,74,0
68,Charlotte,Scott,154,0
69,Lily,Adams,146,0
70,Leah,Brown,77,0
71,Eva,Johnson,10,0
72,Maya,Davis,339,0
73,Sofia,Hill,104,0
74,Amelia,Hall,17,1
75,Grace,King,264,0
76,Maya,Evans,212,0
77,Lucy,Wilson,149,0
78,Ruby,Robinson,117,0
79,Leah,Young,117,1
80,Freya,Taylor,2,0
81,Olivia,Robinson,141,0
82,Hannah,Hall,338,1
83,Julia,Smith,262,0
84,Emily,Mitchell,365,1
85,Olivia,Allen,287,0
86,Lily,Carter,245,1
87,Ruby,Perez,38,0
88,Aria,Wilson,309,0
89,Scarlett,Hall,235,0
90,Olivia,Clark,152,1
91,Olivia,King,127,1
92,Ella,Lee,158,0
93,Clara,Thomas,29,0
94,Scarlett,Wright,362,1
95,Eva,Wilson,285,0
96,Zoe,Hill,35,0
97,Sofia,Carter,236,0
98,Maya,Hall,114,0
99,Aurora,King,139,0
100,Olivia,Johnson,358,0
101,Ava,Perez,289,0
102,Freya,Carter,81,0
103,Ella,Smith,234,0
104,Emily,Robinson,66,1
105,Eva,Martin,195,0
106,Clara,Evans,261,0
107,Aurora,Lee,284,0
108,Lily-Rose,Taylor,5,1
109,Charlotte,Mitchell,16,0
110,Eva,Taylor,241,0
111,Maya,Scott,335,0
112,Olivia,King,281,0
113,Ava,Evans,114,0
114,Ella,Smith,184,0
115,Isabella,Evans,111,0
116,Alice,Lewis,185,0
117,Maya,Hill,202,0
118,Charlotte,Wilson,98,0
119,Chloe,Adams,55,0
120,Maya,Perez,292,0
121,Chloe,Moore,77,0
122,Chloe,Thomas,308,0
123,Lily,Nelson,21,0
124,Grace,Clark,359,0
125,Leah,Clark,275,0
126,Emily,Evans,236,0
127,Amelia,Allen,149,0
128,Olivia,King,343,0
129,Alice,Allen,191,0
130,Charlotte,Perez,299,0
131,Freya,Wilson,25,0
132,Ruby,Baker,195,0
133,Scarlett,Robinson,352,0
134,Ella,Clark,157,1
135,Emma,Davis,62,0
136,Zoe,Wright,212,0
137,Hannah,Adams,166,1
138,Sophia,Robinson,225,0
139,Alice,Nelson,168,0
140,Aria,Johnson,216,1
141,Isabella,Perez,330,0
142,Amelia,Scott,62,0
143,Charlotte,Perez,330,0
144,Clara,Lee,239,1
145,Sofia,Perez,331,0
146,Lily,Thomas,329,1
147,Sofia,Johnson,291,0
148,Emily,Clark,166,0
149,Grace,Mitchell,10,1
150,Julia,Clark,339,1
151,Isabella,Thomas,239,1
152,Grace,Scott,328,1
153,Zoe,Evans,104,0
154,Sophia,Nelson,96,0
155,Eva,Allen,193,0
156,Lily,Thomas,270,1
157,Julia,Smith,142,0
158,Aria,Allen,43,0
159,Sophia,Nelson,66,0
160,Alice,Moore,136,1
161,Leah,Thomas,254,0
162,Lily,Evans,332,0
163,Ella,Taylor,288,0
164,Leah,Brown,85,0
165,Isabella,Hall,25,0
166,Julia,Scott,136,0
167,Eva,Taylor,171,0
168,Aria,Martin,114,0
169,Emily,Mitchell,50,0
170,Aria,Brown,345,0
171,Zoe,Brown,319,0
172,Hannah,Young,308,1
173,Hannah,Robinson,133,0
174,Alice,Lee,159,0
175,Charlotte,Young,232,0
176,Grace,Lee,245,1
177,Sofia,Allen,209,0
178,Ruby,Nelson,350,0
179,Zoe,Hall,54,1
180,Ava,Adams,225,0
181,Chloe,Young,92,1
182,Alice,Thomas,139,0
183,Ruby,Wright,200,0
184,Olivia,Thomas,333,0
185,Sofia,Hill,357,0
186,Lucy,Carter,268,0
187,Ruby,Hill,98,0
188,Aurora,Evans,1,1
189,Clara,Wright,317,0
190,Charlotte,Scott,231,0
191,Maya,Smith,258,0
192,Alice,Smith,321,0
193,Hannah,Lee,263,1
194,Maya,Walker,106,0
195,Chloe,Carter,336,0
196,Sofia,Wilson,319,0
197,Lucy,Taylor,346,0
198,Aurora,Hall,217,0
199,Aurora,Martin,68,0
200,Eva,Lewis,314,0
201,Isabella,Young,332,0
202,Grace,Brown,218,0
203,Lily,Allen,177,0
204,Mia,Allen,347,0
205,Ruby,Nelson,200,1
206,Eva,Allen,327,0
207,Mia,Nelson,251,0
208,Olivia,Adams,47,1
209,Olivia,Moore,205,0
210,Zoe,Wilson,244,0
211,Amelia,Smith,105,0
212,Emma,Davis,225,0
213,Charlotte,Wright,156,0
214,Sofia,Moore,189,0
215,Olivia,Wright,363,0
216,Charlotte,Carter,214,0
217,Julia,Martin,253,0
