user_id,first_name,last _name ,country,gender,join_date , goal/lose/maintain_gainweight,2025-06
1,Andrew,Wilson,Germany,Male,6/16/2025,Gain weight,2024-07
2,Chloe,Clark,France,Female,7/4/2024,Gain weight,2023-06
3,Zachary,Smith,Germany,Male,6/5/2023,Gain weight,2023-11
4,Michael,Perez,Portugal,Male,11/22/2023,Maintain weight,2024-02
5,Theodore,Nelson,Germany,Male,2/12/2024,Maintain weight,2025-09
6,Emily,Clark,Germany,Female,9/14/2025,Gain weight,2025-09
7,Finn,Baker,Germany,Male,9/17/2025,Lose weight,2023-01
8,Emma,Davis,Portugal,Female,1/28/2023,Lose weight,2025-05
9,Luke,Nelson,Spain,Male,5/12/2025,Gain weight,2025-10
10,Zachary,King,Germany,Male,10/22/2025,Lose weight,2025-12
11,Zoe,King,France,Female,12/25/2025,Gain weight,2024-07
12,Emily,Hill,Spain,Female,7/25/2024,Gain weight,2023-07
13,Nathaniel,Robinson,France,Male,7/16/2023,Maintain weight,2024-12
14,Grace,Davis,France,Female,12/3/2024,Gain weight,2023-06
15,Thomas,Scott,Portugal,Male,6/27/2023,Gain weight,2024-02
16,Chloe,Wright,Italy,Female,2/3/2024,Maintain weight,2023-07
17,Nathaniel,Johnson,Germany,Male,7/6/2023,Maintain weight,2025-02
18,Emily,Nelson,France,Female,2/28/2025,Gain weight,2025-10
19,Andrew,Young,Italy,Male,10/6/2025,Gain weight,2025-07
20,Adam,Wright,Italy,Male,7/8/2025,Lose weight,2023-08
21,Nathaniel,Perez,Portugal,Male,8/13/2023,Lose weight,2025-02
22,Zoe,Walker,France,Female,2/9/2025,Maintain weight,2024-04
23,Chloe,Hill,Italy,Female,4/18/2024,Gain weight,2024-03
24,Theodore,Davis,Germany,Male,3/8/2024,Gain weight,2023-12
25,Emma,Baker,Portugal,Female,12/14/2023,Maintain weight,2023-11
26,Joshua,Wilson,Germany,Male,11/3/2023,Lose weight,2023-07
27,Olivia,Walker,Germany,Female,7/27/2023,Gain weight,2024-11
28,Zachary,Wilson,Germany,Male,11/20/2024,Maintain weight,2025-02
29,Eli,Brown,Spain,Male,2/17/2025,Maintain weight,2023-02
30,Luke,Wright,Germany,Male,2/20/2023,Maintain weight,2024-11
31,Luke,Mitchell,Italy,Male,11/14/2024,Gain weight,2024-12
32,Grace,Wilson,France,Female,12/15/2024,Maintain weight,2024-06
33,Emily,Walker,Spain,Female,6/4/2024,Lose weight,2024-01
34,Adam,Clark,Italy,Male,1/27/2024,Maintain weight,2025-05
35,Olivia,Perez,Germany,Female,5/25/2025,Maintain weight,2025-08
36,Sophia,Robinson,Portugal,Female,8/5/2025,Maintain weight,2023-09
37,Theodore,Thomas,Spain,Male,9/25/2023,Maintain weight,2023-11
38,Joshua,Perez,Portugal,Male,11/27/2023,Gain weight,2024-07
39,Nathaniel,Martin,Spain,Male,7/31/2024,Lose weight,2025-05
40,Ella,Young,France,Female,5/18/2025,Gain weight,2024-12
41,Charles,Perez,Portugal,Male,12/14/2024,Lose weight,2025-07
42,Zachary,Johnson,Italy,Male,7/7/2025,Maintain weight,2024-02
43,Ryan,Evans,Germany,Male,2/20/2024,Maintain weight,2024-03
44,Chloe,Thomas,France,Female,3/21/2024,Gain weight,2025-11
45,Finn,Hall,Italy,Male,11/9/2025,Maintain weight,2023-01
46,Charlotte,Lewis,Germany,Female,1/24/2023,Maintain weight,2023-11
47,Ryan,Evans,Portugal,Male,11/13/2023,Gain weight,2024-07
48,Emma,Johnson,Portugal,Female,7/1/2024,Lose weight,2023-12
49,Andrew,King,Spain,Male,12/14/2023,Maintain weight,2025-06
50,Nathaniel,Perez,Italy,Male,6/17/2025,Maintain weight,2024-12
51,Adam,Perez,Portugal,Male,12/18/2024,Maintain weight,2023-03
52,Isabella,Nelson,Spain,Female,3/10/2023,Lose weight,2025-08
53,Amelia,Johnson,Portugal,Female,8/13/2025,Maintain weight,2024-06
54,Finn,King,Germany,Male,6/26/2024,Maintain weight,2023-04
55,Chloe,Lee,Germany,Female,4/27/2023,Gain weight,2023-10
56,Michael,Baker,France,Male,10/30/2023,Lose weight,2025-04
57,Grace,Adams,France,Female,4/13/2025,Gain weight,2024-11
58,Adam,King,Germany,Male,11/27/2024,Maintain weight,2024-03
59,Andrew,Johnson,Spain,Male,3/3/2024,Lose weight,2025-02
60,Finn,Allen,Germany,Male,2/17/2025,Maintain weight,2023-05
61,Adam,Scott,Portugal,Male,5/15/2023,Maintain weight,2025-12
62,Charles,Baker,Italy,Male,12/4/2025,Lose weight,2023-07
63,Emily,Thomas,Italy,Female,7/15/2023,Maintain weight,2024-07
64,Harrison,Perez,France,Male,7/29/2024,Gain weight,2023-06
65,Adam,Perez,France,Male,6/30/2023,Gain weight,2025-06
66,Emma,Carter,France,Female,6/6/2025,Gain weight,2025-09
67,Ava,Walker,France,Female,9/13/2025,Gain weight,2023-01
68,Harrison,Lewis,Spain,Male,1/10/2023,Lose weight,2023-07
69,Finn,Perez,Germany,Male,7/22/2023,Lose weight,2024-04
70,Ava,King,France,Female,4/7/2024,Lose weight,2023-06
71,Thomas,Scott,Portugal,Male,6/8/2023,Lose weight,2024-09
72,Emily,Davis,France,Female,9/29/2024,Gain weight,2025-02
73,Mia,Evans,France,Female,2/20/2025,Lose weight,2023-07
74,Eli,King,Portugal,Male,7/15/2023,Lose weight,2024-08
75,Joshua,Johnson,Spain,Male,8/16/2024,Maintain weight,2024-05
76,Mia,Perez,Portugal,Female,5/30/2024,Maintain weight,2025-03
77,Theodore,Taylor,Spain,Male,3/17/2025,Lose weight,2023-04
78,Zachary,Davis,Portugal,Male,4/29/2023,Maintain weight,2024-07
79,Harrison,Lee,Portugal,Male,7/27/2024,Gain weight,2024-10
80,Ryan,Baker,France,Male,10/26/2024,Lose weight,2023-12
81,Zachary,Baker,Germany,Male,12/2/2023,Maintain weight,2024-11
82,Chloe,Johnson,France,Female,11/11/2024,Maintain weight,2025-05
83,Sophia,Mitchell,Portugal,Female,5/21/2025,Maintain weight,2025-11
84,Zachary,Mitchell,Germany,Male,11/29/2025,Lose weight,2025-02
85,Charlotte,Wilson,Portugal,Female,2/1/2025,Lose weight,2025-01
86,Charlotte,Hall,Spain,Female,1/8/2025,Gain weight,2025-09
87,Michael,Smith,France,Male,9/22/2025,Gain weight,2024-07
88,Sophia,Young,Italy,Female,7/5/2024,Maintain weight,2025-01
89,Charles,Young,Italy,Male,1/21/2025,Lose weight,2023-06
90,Adam,Hill,Italy,Male,6/27/2023,Lose weight,2025-06
91,Zoe,Brown,Portugal,Female,6/16/2025,Maintain weight,2025-10
92,Harrison,Robinson,France,Male,10/7/2025,Lose weight,2024-05
93,Emma,Young,Italy,Female,5/13/2024,Maintain weight,2024-07
94,Thomas,Young,Italy,Male,7/1/2024,Lose weight,2025-10
95,Charlotte,Hernandez,Germany,Female,10/2/2025,Maintain weight,2023-10
96,Charlotte,Wilson,Italy,Female,10/13/2023,Lose weight,2023-03
97,Harrison,Moore,Italy,Male,3/8/2023,Lose weight,2024-02
98,Charlotte,Hernandez,Italy,Female,2/22/2024,Maintain weight,2024-10
99,Amelia,Hall,Portugal,Female,10/30/2024,Gain weight,2025-02
100,Ava,Lee,Portugal,Female,2/12/2025,Maintain weight,2024-05
101,Chloe,Adams,Portugal,Female,5/14/2024,Lose weight,2024-06
102,Joshua,Perez,Italy,Male,6/1/2024,Gain weight,2023-06
103,Olivia,Hernandez,France,Female,6/21/2023,Gain weight,2024-03
104,Thomas,Baker,Germany,Male,3/10/2024,Gain weight,2024-07
105,Mia,Hall,Spain,Female,7/14/2024,Gain weight,2024-02
106,Mia,Scott,Germany,Female,2/15/2024,Lose weight,2023-06
107,Ryan,Baker,France,Male,6/10/2023,Maintain weight,2023-04
108,Luke,Wilson,Spain,Male,4/21/2023,Lose weight,2024-10
109,Mia,Baker,Portugal,Female,10/7/2024,Maintain weight,2024-07
110,Lily,King,Portugal,Female,7/11/2024,Maintain weight,2025-01
111,Emma,King,Germany,Female,1/29/2025,Lose weight,2024-03
112,Isabella,Evans,France,Female,3/9/2024,Gain weight,2025-05
113,Zoe,Mitchell,Spain,Female,5/9/2025,Maintain weight,2025-03
114,Emily,Clark,Italy,Female,3/20/2025,Gain weight,2023-05
115,Mia,Taylor,Germany,Female,5/28/2023,Maintain weight,2025-04
116,Charles,Walker,Italy,Male,4/22/2025,Gain weight,2023-03
117,Finn,Lee,Italy,Male,3/21/2023,Lose weight,2024-04
118,Michael,Young,France,Male,4/8/2024,Lose weight,2025-06
119,Zoe,Davis,Italy,Female,6/5/2025,Maintain weight,2023-12
120,Charles,Carter,Italy,Male,12/11/2023,Gain weight,2023-10
121,Theodore,King,Germany,Male,10/8/2023,Maintain weight,2023-11
122,Harrison,Clark,Spain,Male,11/12/2023,Maintain weight,2023-10
123,Chloe,Clark,Portugal,Female,10/10/2023,Lose weight,2023-04
124,Ava,Taylor,Germany,Female,4/3/2023,Gain weight,2025-04
125,Olivia,Johnson,France,Female,4/25/2025,Lose weight,2025-12
126,Michael,Adams,Germany,Male,12/24/2025,Lose weight,2023-01
127,Ryan,Johnson,Portugal,Male,1/19/2023,Lose weight,2025-11
128,Lily,Baker,Italy,Female,11/11/2025,Gain weight,2023-06
129,Charles,Wright,Spain,Male,6/17/2023,Gain weight,2024-06
130,Lily,Wright,Portugal,Female,6/20/2024,Lose weight,2023-02
131,Eli,Nelson,Germany,Male,2/6/2023,Maintain weight,2025-06
132,Michael,Scott,Spain,Male,6/15/2025,Maintain weight,2023-06
133,Charles,Baker,Spain,Male,6/15/2023,Maintain weight,2023-12
134,Michael,Hernandez,Germany,Male,12/21/2023,Gain weight,2024-10
135,Amelia,Baker,Germany,Female,10/23/2024,Maintain weight,2023-10
136,Sophia,Nelson,Italy,Female,10/25/2023,Gain weight,2024-01
137,Emily,Perez,France,Female,1/7/2024,Maintain weight,2025-07
138,Andrew,Young,Italy,Male,7/8/2025,Maintain weight,2025-01
139,Adam,Davis,Spain,Male,1/2/2025,Gain weight,2024-06
140,Zachary,Scott,Italy,Male,6/26/2024,Gain weight,2023-11
141,Joshua,Wilson,France,Male,11/7/2023,Lose weight,2025-07
142,Michael,Wright,Germany,Male,7/12/2025,Lose weight,2023-08
143,Mia,Baker,Germany,Female,8/23/2023,Maintain weight,2025-10
144,Theodore,Hill,Spain,Male,10/10/2025,Maintain weight,2023-09
145,Zoe,Brown,Spain,Female,9/13/2023,Lose weight,2024-12
146,Ryan,Thomas,Germany,Male,12/1/2024,Lose weight,2024-08
147,Charlotte,Clark,Italy,Female,8/27/2024,Gain weight,2024-04
148,Nathaniel,Robinson,France,Male,4/16/2024,Maintain weight,2024-11
149,Chloe,Young,Portugal,Female,11/27/2024,Lose weight,2024-08
150,Emma,Martin,Germany,Female,8/23/2024,Gain weight,2023-08
151,Joshua,Wright,France,Male,8/16/2023,Gain weight,2023-05
152,Michael,Hall,Italy,Male,5/28/2023,Maintain weight,2025-01
153,Charlotte,Lewis,Portugal,Female,1/17/2025,Gain weight,2025-09
154,Zoe,Wilson,Germany,Female,9/24/2025,Maintain weight,2023-09
155,Nathaniel,Moore,Germany,Male,9/16/2023,Gain weight,2025-04
156,Zoe,Lewis,Germany,Female,4/1/2025,Gain weight,2024-08
157,Harrison,Baker,Italy,Male,8/14/2024,Gain weight,2023-12
158,Michael,Lewis,Spain,Male,12/30/2023,Maintain weight,2025-06
159,Nathaniel,Lee,Spain,Male,6/6/2025,Maintain weight,2023-09
160,Eli,Smith,France,Male,9/19/2023,Gain weight,2025-07
161,Ella,Smith,Germany,Female,7/12/2025,Maintain weight,2024-03
162,Nathaniel,Scott,France,Male,3/28/2024,Lose weight,2023-03
163,Harrison,Hill,Germany,Male,3/17/2023,Lose weight,2025-10
164,Theodore,Evans,Italy,Male,10/2/2025,Maintain weight,2024-09
165,Zachary,Scott,Germany,Male,9/16/2024,Lose weight,2024-06
166,Luke,Moore,Spain,Male,6/22/2024,Maintain weight,2023-12
167,Ryan,Hall,France,Male,12/8/2023,Maintain weight,2024-12
168,Andrew,Nelson,Spain,Male,12/6/2024,Maintain weight,2024-03
169,Emily,Johnson,Spain,Female,3/14/2024,Maintain weight,2025-12
170,Lily,Carter,Spain,Female,12/17/2025,Lose weight,2025-06
171,Emily,Lewis,Portugal,Female,6/24/2025,Lose weight,2024-09
172,Thomas,Clark,Germany,Male,9/12/2024,Maintain weight,2023-09
173,Charlotte,Thomas,Italy,Female,9/24/2023,Gain weight,2025-05
174,Olivia,Mitchell,France,Female,5/6/2025,Lose weight,2025-05
175,Emma,Hernandez,Portugal,Female,5/23/2025,Maintain weight,2023-02
176,Zachary,Allen,Germany,Male,2/12/2023,Gain weight,2025-01
177,Ryan,Martin,Italy,Male,1/23/2025,Maintain weight,2025-02
178,Lily,Mitchell,Portugal,Female,2/10/2025,Gain weight,2025-12
179,Zachary,Baker,France,Male,12/27/2025,Lose weight,2024-12
180,Theodore,Hill,Portugal,Male,12/14/2024,Lose weight,2025-04
181,Zoe,Allen,France,Female,4/11/2025,Lose weight,2024-09
182,Thomas,Adams,France,Male,9/30/2024,Gain weight,2023-08
183,Olivia,Walker,Spain,Female,8/5/2023,Lose weight,2023-03
184,Grace,Adams,Germany,Female,3/13/2023,Maintain weight,2024-07
185,Nathaniel,Smith,France,Male,7/19/2024,Maintain weight,2024-07
186,Ryan,Allen,Germany,Male,7/29/2024,Maintain weight,2024-09
187,Isabella,Mitchell,Portugal,Female,9/23/2024,Lose weight,2023-09
188,Andrew,Moore,Germany,Male,9/7/2023,Lose weight,2025-01
189,Ella,Evans,Germany,Female,1/25/2025,Maintain weight,2023-03
190,Emily,Martin,Germany,Female,3/1/2023,Maintain weight,2024-11
191,Joshua,Thomas,Spain,Male,11/14/2024,Lose weight,2025-07
192,Theodore,Smith,France,Male,7/3/2025,Gain weight,2025-05
193,Nathaniel,Baker,Portugal,Male,5/15/2025,Lose weight,2024-05
194,Theodore,Johnson,Portugal,Male,5/29/2024,Gain weight,2024-07
195,Andrew,Wright,France,Male,7/30/2024,Gain weight,2024-02
196,Ella,Perez,France,Female,2/22/2024,Lose weight,2025-07
197,Charlotte,Martin,Portugal,Female,7/17/2025,Gain weight,2024-02
198,Charles,Perez,France,Male,2/3/2024,Maintain weight,2023-10
199,Harrison,Adams,Germany,Male,10/29/2023,Maintain weight,2025-11
200,Mia,Moore,Italy,Female,11/24/2025,Maintain weight,2023-09
201,Chloe,Hernandez,France,Female,9/1/2023,Gain weight,2024-06
202,Adam,Adams,France,Male,6/23/2024,Maintain weight,2023-09
203,Luke,Clark,Italy,Male,9/30/2023,Gain weight,2023-04
204,Olivia,Taylor,Germany,Female,4/11/2023,Gain weight,2025-03
205,Amelia,Nelson,Spain,Female,3/17/2025,Lose weight,2024-01
206,Michael,Adams,France,Male,1/7/2024,Lose weight,2024-03
207,Ava,Smith,Germany,Female,3/17/2024,Lose weight,2023-02
208,Thomas,Hill,Italy,Male,2/11/2023,Gain weight,2025-02
209,Andrew,Johnson,France,Male,2/10/2025,Lose weight,2024-08
210,Emily,Brown,Germany,Female,8/31/2024,Lose weight,2025-03
211,Olivia,Lee,Germany,Female,3/6/2025,Maintain weight,2023-03
212,Ryan,Hall,Italy,Male,3/19/2023,Maintain weight,2023-12
213,Eli,Taylor,Portugal,Male,12/2/2023,Gain weight,2023-05
214,Charlotte,Hernandez,Spain,Female,5/29/2023,Maintain weight,2023-04
215,Ava,Nelson,Portugal,Female,4/9/2023,Gain weight,2024-11
216,Nathaniel,Brown,Portugal,Male,11/19/2024,Lose weight,2023-07
217,Zoe,Brown,Portugal,Female,7/8/2023,Lose weight,2024-11
218,Luke,Thomas,Portugal,Male,11/1/2024,Gain weight,2023-08
219,Zachary,Scott,Germany,Male,8/1/2023,Lose weight,2025-07
220,Luke,Davis,France,Male,7/31/2025,Gain weight,2025-10
221,Harrison,Nelson,Portugal,Male,10/19/2025,Lose weight,2025-05
222,Ella,Johnson,Portugal,Female,5/4/2025,Maintain weight,2025-07
223,Thomas,Allen,Germany,Male,7/21/2025,Lose weight,2024-01
224,Michael,Smith,Portugal,Male,1/31/2024,Gain weight,2023-01
225,Mia,Wilson,Spain,Female,1/8/2023,Gain weight,2024-06
226,Eli,Perez,Germany,Male,6/4/2024,Gain weight,2024-06
227,Olivia,Martin,France,Female,6/12/2024,Gain weight,2025-03
228,Ava,Thomas,Germany,Female,3/3/2025,Lose weight,2025-06
229,Zachary,Evans,France,Male,6/25/2025,Maintain weight,2025-01
230,Eli,Moore,Portugal,Male,1/7/2025,Maintain weight,2023-12
231,Michael,Hall,Italy,Male,12/4/2023,Gain weight,2024-09
232,Ella,Nelson,Spain,Female,9/27/2024,Gain weight,2023-12
233,Eli,Johnson,Portugal,Male,12/2/2023,Lose weight,2025-05
234,Finn,Robinson,Italy,Male,5/21/2025,Gain weight,2024-03
235,Chloe,Allen,Germany,Female,3/14/2024,Maintain weight,2023-04
236,Ryan,Baker,Portugal,Male,4/28/2023,Maintain weight,2023-12
237,Mia,Nelson,France,Female,12/5/2023,Maintain weight,2024-03
238,Adam,Hall,Italy,Male,3/21/2024,Maintain weight,2024-04
239,Amelia,Lewis,Spain,Female,4/28/2024,Lose weight,2024-11
240,Zoe,Thomas,Portugal,Female,11/7/2024,Lose weight,2024-10
241,Charlotte,Lewis,Italy,Female,10/1/2024,Lose weight,2024-11
242,Zoe,Moore,Germany,Female,11/14/2024,Maintain weight,2025-05
243,Lily,Baker,Spain,Female,5/16/2025,Gain weight,2025-03
244,Olivia,Hill,France,Female,3/6/2025,Lose weight,2024-11
245,Adam,Evans,France,Male,11/24/2024,Lose weight,2024-06
246,Eli,Perez,Portugal,Male,6/29/2024,Gain weight,2023-07
247,Isabella,Wright,Portugal,Female,7/9/2023,Maintain weight,2025-04
248,Finn,Hernandez,Portugal,Male,4/16/2025,Maintain weight,2025-02
249,Theodore,Davis,Portugal,Male,2/23/2025,Gain weight,2023-10
250,Luke,Baker,Portugal,Male,10/20/2023,Gain weight,2023-06
251,Isabella,Smith,France,Female,6/9/2023,Maintain weight,2024-08
252,Luke,Nelson,Spain,Male,8/20/2024,Maintain weight,2023-12
253,Emily,King,Germany,Female,12/21/2023,Gain weight,2025-08
254,Chloe,Taylor,Italy,Female,8/18/2025,Lose weight,2023-11
255,Ella,Allen,France,Female,11/9/2023,Gain weight,2024-02
256,Finn,Baker,France,Male,2/25/2024,Lose weight,2023-08
257,Sophia,Perez,Germany,Female,8/6/2023,Lose weight,2024-04
258,Charlotte,Adams,Italy,Female,4/20/2024,Lose weight,2025-09
259,Thomas,Wright,Spain,Male,9/5/2025,Gain weight,2023-07
260,Emma,Thomas,Spain,Female,7/23/2023,Gain weight,2023-07
261,Zoe,Mitchell,Italy,Female,7/27/2023,Maintain weight,2023-09
262,Olivia,King,Germany,Female,9/10/2023,Maintain weight,2025-10
263,Zoe,Moore,Spain,Female,10/15/2025,Maintain weight,2025-06
264,Adam,Adams,Spain,Male,6/27/2025,Lose weight,2023-02
265,Chloe,Moore,Portugal,Female,2/13/2023,Maintain weight,2025-08
266,Zachary,Adams,Germany,Male,8/11/2025,Maintain weight,2025-04
267,Michael,Perez,Italy,Male,4/3/2025,Gain weight,2024-09
268,Luke,Thomas,Portugal,Male,9/9/2024,Maintain weight,2024-06
269,Nathaniel,Wright,Germany,Male,6/5/2024,Lose weight,2024-08
270,Joshua,Walker,Italy,Male,8/27/2024,Lose weight,2023-09
271,Joshua,Walker,Spain,Male,9/11/2023,Gain weight,2023-02
272,Isabella,Hernandez,France,Female,2/22/2023,Maintain weight,2025-07
273,Ava,Robinson,Portugal,Female,7/9/2025,Lose weight,2025-12
274,Olivia,Mitchell,France,Female,12/1/2025,Gain weight,2025-04
275,Isabella,Wright,Italy,Female,4/20/2025,Gain weight,2025-04
276,Emma,Hernandez,Italy,Female,4/26/2025,Maintain weight,2025-07
277,Isabella,Smith,Portugal,Female,7/4/2025,Maintain weight,2024-06
