user_id,first_name,last _name ,country,gender,join_date , goal/lose/maintain_gainweight
1,Andrew,Wilson,Germany,Male,6/16/2025,Gain weight
2,Chloe,Clark,France,Female,7/4/2024,Gain weight
3,Zachary,Smith,Germany,Male,6/5/2023,Gain weight
4,Michael,Perez,Portugal,Male,11/22/2023,Maintain weight
5,Theodore,Nelson,Germany,Male,2/12/2024,Maintain weight
6,Emily,Clark,Germany,Female,9/14/2025,Gain weight
7,Finn,Baker,Germany,Male,9/17/2025,Lose weight
8,Emma,Davis,Portugal,Female,1/28/2023,Lose weight
9,Luke,Nelson,Spain,Male,5/12/2025,Gain weight
10,Zachary,King,Germany,Male,10/22/2025,Lose weight
11,Zoe,King,France,Female,12/25/2025,Gain weight
12,Emily,Hill,Spain,Female,7/25/2024,Gain weight
13,Nathaniel,Robinson,France,Male,7/16/2023,Maintain weight
14,Grace,Davis,France,Female,12/3/2024,Gain weight
15,Thomas,Scott,Portugal,Male,6/27/2023,Gain weight
16,Chloe,Wright,Italy,Female,2/3/2024,Maintain weight
17,Nathaniel,Johnson,Germany,Male,7/6/2023,Maintain weight
18,Emily,Nelson,France,Female,2/28/2025,Gain weight
19,Andrew,Young,Italy,Male,10/6/2025,Gain weight
20,Adam,Wright,Italy,Male,7/8/2025,Lose weight
21,Nathaniel,Perez,Portugal,Male,8/13/2023,Lose weight
22,Zoe,Walker,France,Female,2/9/2025,Maintain weight
23,Chloe,Hill,Italy,Female,4/18/2024,Gain weight
24,Theodore,Davis,Germany,Male,3/8/2024,Gain weight
25,Emma,Baker,Portugal,Female,12/14/2023,Maintain weight
26,Joshua,Wilson,Germany,Male,11/3/2023,Lose weight
27,Olivia,Walker,Germany,Female,7/27/2023,Gain weight
28,Zachary,Wilson,Germany,Male,11/20/2024,Maintain weight
29,Eli,Brown,Spain,Male,2/17/2025,Maintain weight
30,Luke,Wright,Germany,Male,2/20/2023,Maintain weight
31,Luke,Mitchell,Italy,Male,11/14/2024,Gain weight
32,Grace,Wilson,France,Female,12/15/2024,Maintain weight
33,Emily,Walker,Spain,Female,6/4/2024,Lose weight
34,Adam,Clark,Italy,Male,1/27/2024,Maintain weight
35,Olivia,Perez,Germany,Female,5/25/2025,Maintain weight
36,Sophia,Robinson,Portugal,Female,8/5/2025,Maintain weight
37,Theodore,Thomas,Spain,Male,9/25/2023,Maintain weight
38,Joshua,Perez,Portugal,Male,11/27/2023,Gain weight
39,Nathaniel,Martin,Spain,Male,7/31/2024,Lose weight
40,Ella,Young,France,Female,5/18/2025,Gain weight
41,Charles,Perez,Portugal,Male,12/14/2024,Lose weight
42,Zachary,Johnson,Italy,Male,7/7/2025,Maintain weight
43,Ryan,Evans,Germany,Male,2/20/2024,Maintain weight
44,Chloe,Thomas,France,Female,3/21/2024,Gain weight
45,Finn,Hall,Italy,Male,11/9/2025,Maintain weight
46,Charlotte,Lewis,Germany,Female,1/24/2023,Maintain weight
47,Ryan,Evans,Portugal,Male,11/13/2023,Gain weight
48,Emma,Johnson,Portugal,Female,7/1/2024,Lose weight
49,Andrew,King,Spain,Male,12/14/2023,Maintain weight
50,Nathaniel,Perez,Italy,Male,6/17/2025,Maintain weight
51,Adam,Perez,Portugal,Male,12/18/2024,Maintain weight
52,Isabella,Nelson,Spain,Female,3/10/2023,Lose weight
53,Amelia,Johnson,Portugal,Female,8/13/2025,Maintain weight
54,Finn,King,Germany,Male,6/26/2024,Maintain weight
55,Chloe,Lee,Germany,Female,4/27/2023,Gain weight
56,Michael,Baker,France,Male,10/30/2023,Lose weight
57,Grace,Adams,France,Female,4/13/2025,Gain weight
58,Adam,King,Germany,Male,11/27/2024,Maintain weight
59,Andrew,Johnson,Spain,Male,3/3/2024,Lose weight
60,Finn,Allen,Germany,Male,2/17/2025,Maintain weight
61,Adam,Scott,Portugal,Male,5/15/2023,Maintain weight
62,Charles,Baker,Italy,Male,12/4/2025,Lose weight
63,Emily,Thomas,Italy,Female,7/15/2023,Maintain weight
64,Harrison,Perez,France,Male,7/29/2024,Gain weight
65,Adam,Perez,France,Male,6/30/2023,Gain weight
66,Emma,Carter,France,Female,6/6/2025,Gain weight
67,Ava,Walker,France,Female,9/13/2025,Gain weight
68,Harrison,Lewis,Spain,Male,1/10/2023,Lose weight
69,Finn,Perez,Germany,Male,7/22/2023,Lose weight
70,Ava,King,France,Female,4/7/2024,Lose weight
71,Thomas,Scott,Portugal,Male,6/8/2023,Lose weight
72,Emily,Davis,France,Female,9/29/2024,Gain weight
73,Mia,Evans,France,Female,2/20/2025,Lose weight
74,Eli,King,Portugal,Male,7/15/2023,Lose weight
75,Joshua,Johnson,Spain,Male,8/16/2024,Maintain weight
76,Mia,Perez,Portugal,Female,5/30/2024,Maintain weight
77,Theodore,Taylor,Spain,Male,3/17/2025,Lose weight
78,Zachary,Davis,Portugal,Male,4/29/2023,Maintain weight
79,Harrison,Lee,Portugal,Male,7/27/2024,Gain weight
80,Ryan,Baker,France,Male,10/26/2024,Lose weight
81,Zachary,Baker,Germany,Male,12/2/2023,Maintain weight
82,Chloe,Johnson,France,Female,11/11/2024,Maintain weight
83,Sophia,Mitchell,Portugal,Female,5/21/2025,Maintain weight
84,Zachary,Mitchell,Germany,Male,11/29/2025,Lose weight
85,Charlotte,Wilson,Portugal,Female,2/1/2025,Lose weight
86,Charlotte,Hall,Spain,Female,1/8/2025,Gain weight
87,Michael,Smith,France,Male,9/22/2025,Gain weight
88,Sophia,Young,Italy,Female,7/5/2024,Maintain weight
89,Charles,Young,Italy,Male,1/21/2025,Lose weight
90,Adam,Hill,Italy,Male,6/27/2023,Lose weight
91,Zoe,Brown,Portugal,Female,6/16/2025,Maintain weight
92,Harrison,Robinson,France,Male,10/7/2025,Lose weight
93,Emma,Young,Italy,Female,5/13/2024,Maintain weight
94,Thomas,Young,Italy,Male,7/1/2024,Lose weight
95,Charlotte,Hernandez,Germany,Female,10/2/2025,Maintain weight
96,Charlotte,Wilson,Italy,Female,10/13/2023,Lose weight
97,Harrison,Moore,Italy,Male,3/8/2023,Lose weight
98,Charlotte,Hernandez,Italy,Female,2/22/2024,Maintain weight
99,Amelia,Hall,Portugal,Female,10/30/2024,Gain weight
100,Ava,Lee,Portugal,Female,2/12/2025,Maintain weight
101,Chloe,Adams,Portugal,Female,5/14/2024,Lose weight
102,Joshua,Perez,Italy,Male,6/1/2024,Gain weight
103,Olivia,Hernandez,France,Female,6/21/2023,Gain weight
104,Thomas,Baker,Germany,Male,3/10/2024,Gain weight
105,Mia,Hall,Spain,Female,7/14/2024,Gain weight
106,Mia,Scott,Germany,Female,2/15/2024,Lose weight
107,Ryan,Baker,France,Male,6/10/2023,Maintain weight
108,Luke,Wilson,Spain,Male,4/21/2023,Lose weight
109,Mia,Baker,Portugal,Female,10/7/2024,Maintain weight
110,Lily,King,Portugal,Female,7/11/2024,Maintain weight
111,Emma,King,Germany,Female,1/29/2025,Lose weight
112,Isabella,Evans,France,Female,3/9/2024,Gain weight
113,Zoe,Mitchell,Spain,Female,5/9/2025,Maintain weight
114,Emily,Clark,Italy,Female,3/20/2025,Gain weight
115,Mia,Taylor,Germany,Female,5/28/2023,Maintain weight
116,Charles,Walker,Italy,Male,4/22/2025,Gain weight
117,Finn,Lee,Italy,Male,3/21/2023,Lose weight
118,Michael,Young,France,Male,4/8/2024,Lose weight
119,Zoe,Davis,Italy,Female,6/5/2025,Maintain weight
120,Charles,Carter,Italy,Male,12/11/2023,Gain weight
121,Theodore,King,Germany,Male,10/8/2023,Maintain weight
122,Harrison,Clark,Spain,Male,11/12/2023,Maintain weight
123,Chloe,Clark,Portugal,Female,10/10/2023,Lose weight
124,Ava,Taylor,Germany,Female,4/3/2023,Gain weight
125,Olivia,Johnson,France,Female,4/25/2025,Lose weight
126,Michael,Adams,Germany,Male,12/24/2025,Lose weight
127,Ryan,Johnson,Portugal,Male,1/19/2023,Lose weight
128,Lily,Baker,Italy,Female,11/11/2025,Gain weight
129,Charles,Wright,Spain,Male,6/17/2023,Gain weight
130,Lily,Wright,Portugal,Female,6/20/2024,Lose weight
131,Eli,Nelson,Germany,Male,2/6/2023,Maintain weight
132,Michael,Scott,Spain,Male,6/15/2025,Maintain weight
133,Charles,Baker,Spain,Male,6/15/2023,Maintain weight
134,Michael,Hernandez,Germany,Male,12/21/2023,Gain weight
135,Amelia,Baker,Germany,Female,10/23/2024,Maintain weight
136,Sophia,Nelson,Italy,Female,10/25/2023,Gain weight
137,Emily,Perez,France,Female,1/7/2024,Maintain weight
138,Andrew,Young,Italy,Male,7/8/2025,Maintain weight
139,Adam,Davis,Spain,Male,1/2/2025,Gain weight
140,Zachary,Scott,Italy,Male,6/26/2024,Gain weight
141,Joshua,Wilson,France,Male,11/7/2023,Lose weight
142,Michael,Wright,Germany,Male,7/12/2025,Lose weight
143,Mia,Baker,Germany,Female,8/23/2023,Maintain weight
144,Theodore,Hill,Spain,Male,10/10/2025,Maintain weight
145,Zoe,Brown,Spain,Female,9/13/2023,Lose weight
146,Ryan,Thomas,Germany,Male,12/1/2024,Lose weight
147,Charlotte,Clark,Italy,Female,8/27/2024,Gain weight
148,Nathaniel,Robinson,France,Male,4/16/2024,Maintain weight
149,Chloe,Young,Portugal,Female,11/27/2024,Lose weight
150,Emma,Martin,Germany,Female,8/23/2024,Gain weight
151,Joshua,Wright,France,Male,8/16/2023,Gain weight
152,Michael,Hall,Italy,Male,5/28/2023,Maintain weight
153,Charlotte,Lewis,Portugal,Female,1/17/2025,Gain weight
154,Zoe,Wilson,Germany,Female,9/24/2025,Maintain weight
155,Nathaniel,Moore,Germany,Male,9/16/2023,Gain weight
156,Zoe,Lewis,Germany,Female,4/1/2025,Gain weight
157,Harrison,Baker,Italy,Male,8/14/2024,Gain weight
158,Michael,Lewis,Spain,Male,12/30/2023,Maintain weight
159,Nathaniel,Lee,Spain,Male,6/6/2025,Maintain weight
160,Eli,Smith,France,Male,9/19/2023,Gain weight
161,Ella,Smith,Germany,Female,7/12/2025,Maintain weight
162,Nathaniel,Scott,France,Male,3/28/2024,Lose weight
163,Harrison,Hill,Germany,Male,3/17/2023,Lose weight
164,Theodore,Evans,Italy,Male,10/2/2025,Maintain weight
165,Zachary,Scott,Germany,Male,9/16/2024,Lose weight
166,Luke,Moore,Spain,Male,6/22/2024,Maintain weight
167,Ryan,Hall,France,Male,12/8/2023,Maintain weight
168,Andrew,Nelson,Spain,Male,12/6/2024,Maintain weight
169,Emily,Johnson,Spain,Female,3/14/2024,Maintain weight
170,Lily,Carter,Spain,Female,12/17/2025,Lose weight
171,Emily,Lewis,Portugal,Female,6/24/2025,Lose weight
172,Thomas,Clark,Germany,Male,9/12/2024,Maintain weight
173,Charlotte,Thomas,Italy,Female,9/24/2023,Gain weight
174,Olivia,Mitchell,France,Female,5/6/2025,Lose weight
175,Emma,Hernandez,Portugal,Female,5/23/2025,Maintain weight
176,Zachary,Allen,Germany,Male,2/12/2023,Gain weight
177,Ryan,Martin,Italy,Male,1/23/2025,Maintain weight
178,Lily,Mitchell,Portugal,Female,2/10/2025,Gain weight
179,Zachary,Baker,France,Male,12/27/2025,Lose weight
180,Theodore,Hill,Portugal,Male,12/14/2024,Lose weight
181,Zoe,Allen,France,Female,4/11/2025,Lose weight
182,Thomas,Adams,France,Male,9/30/2024,Gain weight
183,Olivia,Walker,Spain,Female,8/5/2023,Lose weight
184,Grace,Adams,Germany,Female,3/13/2023,Maintain weight
185,Nathaniel,Smith,France,Male,7/19/2024,Maintain weight
186,Ryan,Allen,Germany,Male,7/29/2024,Maintain weight
187,Isabella,Mitchell,Portugal,Female,9/23/2024,Lose weight
188,Andrew,Moore,Germany,Male,9/7/2023,Lose weight
189,Ella,Evans,Germany,Female,1/25/2025,Maintain weight
190,Emily,Martin,Germany,Female,3/1/2023,Maintain weight
191,Joshua,Thomas,Spain,Male,11/14/2024,Lose weight
192,Theodore,Smith,France,Male,7/3/2025,Gain weight
193,Nathaniel,Baker,Portugal,Male,5/15/2025,Lose weight
194,Theodore,Johnson,Portugal,Male,5/29/2024,Gain weight
195,Andrew,Wright,France,Male,7/30/2024,Gain weight
196,Ella,Perez,France,Female,2/22/2024,Lose weight
197,Charlotte,Martin,Portugal,Female,7/17/2025,Gain weight
198,Charles,Perez,France,Male,2/3/2024,Maintain weight
199,Harrison,Adams,Germany,Male,10/29/2023,Maintain weight
200,Mia,Moore,Italy,Female,11/24/2025,Maintain weight
201,Chloe,Hernandez,France,Female,9/1/2023,Gain weight
202,Adam,Adams,France,Male,6/23/2024,Maintain weight
203,Luke,Clark,Italy,Male,9/30/2023,Gain weight
204,Olivia,Taylor,Germany,Female,4/11/2023,Gain weight
205,Amelia,Nelson,Spain,Female,3/17/2025,Lose weight
206,Michael,Adams,France,Male,1/7/2024,Lose weight
207,Ava,Smith,Germany,Female,3/17/2024,Lose weight
208,Thomas,Hill,Italy,Male,2/11/2023,Gain weight
209,Andrew,Johnson,France,Male,2/10/2025,Lose weight
210,Emily,Brown,Germany,Female,8/31/2024,Lose weight
211,Olivia,Lee,Germany,Female,3/6/2025,Maintain weight
212,Ryan,Hall,Italy,Male,3/19/2023,Maintain weight
213,Eli,Taylor,Portugal,Male,12/2/2023,Gain weight
214,Charlotte,Hernandez,Spain,Female,5/29/2023,Maintain weight
215,Ava,Nelson,Portugal,Female,4/9/2023,Gain weight
216,Nathaniel,Brown,Portugal,Male,11/19/2024,Lose weight
217,Zoe,Brown,Portugal,Female,7/8/2023,Lose weight
218,Luke,Thomas,Portugal,Male,11/1/2024,Gain weight
219,Zachary,Scott,Germany,Male,8/1/2023,Lose weight
220,Luke,Davis,France,Male,7/31/2025,Gain weight
221,Harrison,Nelson,Portugal,Male,10/19/2025,Lose weight
222,Ella,Johnson,Portugal,Female,5/4/2025,Maintain weight
223,Thomas,Allen,Germany,Male,7/21/2025,Lose weight
224,Michael,Smith,Portugal,Male,1/31/2024,Gain weight
225,Mia,Wilson,Spain,Female,1/8/2023,Gain weight
226,Eli,Perez,Germany,Male,6/4/2024,Gain weight
227,Olivia,Martin,France,Female,6/12/2024,Gain weight
228,Ava,Thomas,Germany,Female,3/3/2025,Lose weight
229,Zachary,Evans,France,Male,6/25/2025,Maintain weight
230,Eli,Moore,Portugal,Male,1/7/2025,Maintain weight
231,Michael,Hall,Italy,Male,12/4/2023,Gain weight
232,Ella,Nelson,Spain,Female,9/27/2024,Gain weight
233,Eli,Johnson,Portugal,Male,12/2/2023,Lose weight
234,Finn,Robinson,Italy,Male,5/21/2025,Gain weight
235,Chloe,Allen,Germany,Female,3/14/2024,Maintain weight
236,Ryan,Baker,Portugal,Male,4/28/2023,Maintain weight
237,Mia,Nelson,France,Female,12/5/2023,Maintain weight
238,Adam,Hall,Italy,Male,3/21/2024,Maintain weight
239,Amelia,Lewis,Spain,Female,4/28/2024,Lose weight
240,Zoe,Thomas,Portugal,Female,11/7/2024,Lose weight
241,Charlotte,Lewis,Italy,Female,10/1/2024,Lose weight
242,Zoe,Moore,Germany,Female,11/14/2024,Maintain weight
